               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.021259,            0.010416,           0.0022272,             0.91694,             0.87455,             0.91304,              0.7235,            0.014617,           0.0040217,            0.006444,             0.00406,             0.00406,             0.00406
                  62,            0.021437,            0.010288,           0.0026181,             0.93064,             0.86606,             0.91823,             0.73402,            0.013852,           0.0039418,           0.0053291,            0.003961,            0.003961,            0.003961
                  63,            0.021299,            0.010164,           0.0020576,             0.91961,             0.86204,             0.90478,             0.71798,            0.013966,           0.0040885,           0.0077496,            0.003862,            0.003862,            0.003862
                  64,            0.021824,            0.010241,            0.002841,             0.92522,             0.88172,             0.90669,             0.72928,            0.014195,           0.0039191,           0.0065703,            0.003763,            0.003763,            0.003763
                  65,            0.021593,            0.010141,           0.0024965,             0.92259,             0.87866,             0.90987,             0.73515,            0.013911,           0.0040014,           0.0085201,            0.003664,            0.003664,            0.003664
                  66,            0.020851,            0.010183,           0.0023218,             0.90154,             0.88928,             0.91314,             0.74112,            0.013302,           0.0038846,           0.0075926,            0.003565,            0.003565,            0.003565
                  67,            0.021039,            0.010184,           0.0024199,             0.91173,             0.87201,             0.90629,             0.73658,            0.013347,           0.0039177,           0.0067178,            0.003466,            0.003466,            0.003466
                  68,            0.021075,           0.0099889,            0.001786,             0.92256,             0.87887,             0.91283,             0.74157,            0.013724,           0.0039289,           0.0052163,            0.003367,            0.003367,            0.003367
                  69,            0.019724,           0.0099652,            0.001648,             0.92992,             0.85261,              0.9038,             0.72842,            0.013451,           0.0039466,           0.0074953,            0.003268,            0.003268,            0.003268
                  70,            0.020348,           0.0099533,           0.0023688,             0.94321,             0.88032,             0.92025,             0.74375,            0.013942,           0.0038744,           0.0056497,            0.003169,            0.003169,            0.003169
                  71,            0.020658,            0.010057,           0.0021414,             0.93891,             0.85761,             0.90668,             0.73208,            0.014236,           0.0039963,           0.0070105,             0.00307,             0.00307,             0.00307
                  72,            0.020244,           0.0098438,           0.0021111,             0.95018,             0.85116,             0.91986,             0.73929,            0.013231,            0.003846,           0.0053203,            0.002971,            0.002971,            0.002971
                  73,              0.0202,           0.0097785,           0.0017831,             0.93952,             0.86663,             0.91862,             0.73832,            0.013713,           0.0039812,           0.0059255,            0.002872,            0.002872,            0.002872
                  74,            0.020291,           0.0098922,           0.0019106,             0.94138,             0.87879,             0.91276,             0.74033,            0.013033,           0.0039046,           0.0055071,            0.002773,            0.002773,            0.002773
                  75,            0.019139,           0.0097798,           0.0015783,             0.92327,             0.88209,             0.91471,             0.73834,            0.013374,           0.0039232,           0.0066575,            0.002674,            0.002674,            0.002674
                  76,            0.019594,           0.0099219,           0.0017794,             0.93544,             0.86447,             0.90798,             0.73531,            0.013543,           0.0039017,           0.0063978,            0.002575,            0.002575,            0.002575
                  77,            0.019284,           0.0097984,           0.0017748,             0.94539,             0.87912,             0.91497,             0.74562,            0.013758,           0.0038563,           0.0059696,            0.002476,            0.002476,            0.002476
                  78,            0.018964,           0.0095775,           0.0018648,             0.94166,             0.87303,             0.90907,             0.74319,            0.013777,           0.0038407,           0.0070067,            0.002377,            0.002377,            0.002377
